Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
i ⁱ^̰	231	320	377	689	1733	2239	1833	1130	2806	2801	2499	2523	N_cloud_01.wav
o	269	448	--undefined--	--undefined--	2131	841	--undefined--	--undefined--	2717	2520	--undefined--	--undefined--	N_cloud_01.wav
i ⁱ^̰	238	261	778	376	1314	2094	2174	1964	2214	2579	2717	2300	N_cloud_02.wav
o	411	454	--undefined--	--undefined--	2183	847	--undefined--	--undefined--	2445	2372	--undefined--	--undefined--	N_cloud_02.wav
ĩːː	389	434	380	386	1238	2311	2109	2231	2072	2596	2463	2485	N_corn_01.wav
ĩːː	380	437	241	286	1604	2195	2235	2110	2421	2528	2794	2407	N_corn_02.wav
ũ 	412	365	327	430	1320	1121	1797	1299	2256	2026	2044	2657	N_fire_01.wav
ˈ ɔ̃	340	588	--undefined--	--undefined--	1208	1650	--undefined--	--undefined--	2263	2779	--undefined--	--undefined--	N_fire_01.wav
i ^ĩ^̰  	745	327	305	558	910	1391	2190	1536	2524	2233	2803	2604	N_fruit_01.wav
^ĩ^̰ ˈi	331	311	--undefined--	--undefined--	1346	2408	--undefined--	--undefined--	2252	2817	--undefined--	--undefined--	N_fruit_01.wav
aː 	937	682	577	423	1446	1430	1397	1322	2120	2538	2332	2302	N_heart_01.wav
a	726	727	--undefined--	--undefined--	1492	1376	--undefined--	--undefined--	2539	2651	--undefined--	--undefined--	N_heart_01.wav
aː 	846	698	551	516	1323	1319	1487	1376	2416	2483	2514	2301	N_heart_02.wav
a	573	595	--undefined--	--undefined--	1500	1491	--undefined--	--undefined--	2638	2270	--undefined--	--undefined--	N_heart_02.wav
ˈĩːː 	770	350	567	365	2302	2281	1398	1892	3217	3108	2928	2483	N_husband_02.wav
ˈ ĩːː	449	513	426	372	1250	2378	1312	1874	2360	3289	2445	2497	N_husband_03.wav
ˈ ĩːː	340	380	341	355	1677	1639	1208	2159	2404	2644	2344	2568	N_husband_05.wav
ˈ ĩːː	351	284	281	314	2188	1695	1651	1529	2359	2400	2680	2361	N_husband_06.wav
ɛ 	436	450	577	320	1750	1948	1656	2253	3099	2630	2484	2718	N_husband_pl_01.wav
