Vowel	F1_pt2	F1_mid	F1_pt7	F1_pt8	F2_pt2	F2_mid	F2_pt7	F2_pt8	F3_pt2	F3_mid	F3_pt7	F3_pt8	Filename
a	257	557	591	1371	1442	1571	1572	1859	2498	2316	2416	2194	V_think_older_01.wav
a	549	670	343	300	1531	1509	2216	2027	2521	2191	2658	2602	V_think_older_01.wav
i ⁱ^̰ 	545	317	302	297	1539	2427	1118	2523	2325	2558	2459	2804	V_think_older_01.wav
ⁱ^̰ i	582	336	569	--undefined--	1519	2462	2114	--undefined--	2410	2709	2680	--undefined--	V_think_older_01.wav
i	653	259	--undefined--	--undefined--	1485	2456	--undefined--	--undefined--	2148	3089	--undefined--	--undefined--	V_think_older_01.wav
a	255	543	619	620	1563	1438	1536	1617	2627	2175	2256	2279	V_think_young_03.wav
a	530	592	398	370	1580	1535	2309	1222	2423	2187	2485	2343	V_think_young_03.wav
i	522	452	289	--undefined--	1453	2483	2510	--undefined--	2158	2741	2915	--undefined--	V_think_young_03.wav
i	1457	297	--undefined--	--undefined--	2190	2269	--undefined--	--undefined--	3266	2886	--undefined--	--undefined--	V_think_young_03.wav
i	257	455	1943	1596	1447	2074	2641	2634	2174	2822	3386	2967	WH_how_01.wav
ˈi 	277	337	--undefined--	--undefined--	808	2336	--undefined--	--undefined--	2587	3037	--undefined--	--undefined--	WH_how_01.wav
i	319	554	1920	1784	2261	1650	2700	2693	2666	2467	3333	3452	WH_how_02.wav
ˈi 	633	360	--undefined--	--undefined--	1879	1661	--undefined--	--undefined--	2513	2384	--undefined--	--undefined--	WH_how_02.wav
ˈiː 	249	285	291	--undefined--	2233	1534	2267	--undefined--	3467	2400	2732	--undefined--	WH_what_01.wav
iː	267	348	271	--undefined--	1726	1068	1836	--undefined--	2950	2249	2379	--undefined--	WH_what_02.wav
ˈiː	352	297	--undefined--	--undefined--	1721	2183	--undefined--	--undefined--	3082	2957	--undefined--	--undefined--	WH_what_04.wav
ˈ ĩːː 	230	360	270	--undefined--	1857	2295	1664	--undefined--	2852	3000	2438	--undefined--	WH_where_01.wav
ĩː 	331	360	--undefined--	--undefined--	1811	2190	--undefined--	--undefined--	2615	2262	--undefined--	--undefined--	WH_where_01_spkr_2.wav
ˈĩːː	212	376	290	--undefined--	2015	2255	2029	--undefined--	3035	2901	2867	--undefined--	WH_where_02.wav
ˈ ĩːː 	1442	347	840	--undefined--	2480	1735	1636	--undefined--	3463	2546	3033	--undefined--	WH_where_03.wav
ĩː	1557	353	998	--undefined--	2551	1822	1555	--undefined--	3436	2734	2978	--undefined--	WH_where_04.wav
a	1208	684	537	649	1555	1387	1472	1776	2052	2632	2600	2691	WH_who_01.wav
a	617	677	--undefined--	--undefined--	1473	1440	--undefined--	--undefined--	2559	2258	--undefined--	--undefined--	WH_who_01.wav
a	502	837	478	385	1674	1329	1449	1341	2983	2182	2425	2195	WH_who_02.wav
a	772	848	--undefined--	--undefined--	1688	1598	--undefined--	--undefined--	2768	2821	--undefined--	--undefined--	WH_who_02.wav
