file,channels,samplerate,duration_sec,format
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_CMND_take_DET_PROX_moon_02_spkrJS.wav,1,96000,1.81,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_CMND_take_the_lamb_from_the_water_because_hes_drowning_03_TS.wav,1,96000,2.84,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_DEC_I_will_give_money_to_jack_NEG_01_02_03_spkrTS.wav,1,96000,4.0,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_DEC_I_will_give_money_to_jack_POS_01_02_03_TS.wav,1,96000,4.48,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_am_not_eating_breakfast_right_now_Im_reading_a_book_02_spkrTS.wav,1,96000,3.39,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_am_not_eating_breakfast_right_now_Im_reading_a_book_03_spkrTS.wav,1,96000,3.18,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_was_going_to_school_yesterday_when_I_fell_down_02_spkrTS.wav,1,96000,2.33,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_will_give_money_to_Jack_01_TS.wav,1,96000,1.34,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_will_give_money_to_Jack_02_TS.wav,1,96000,1.55,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_will_give_money_to_Jack_03_TS.wav,1,96000,1.49,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_will_not_give_money_to_Jack_01_TS.wav,1,96000,1.43,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_I_will_not_give_money_to_Jack_02_TS.wav,1,96000,1.41,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_MTN-DEIC_arrive_3s_inf_here_01_02_03_04_TS.wav,1,96000,7.62,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_MTN_the_crow_is_flying_high_01_02_03_TS.wav,1,96000,7.06,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_MTN_the_elders_come_here_01_02_TS.wav,1,96000,3.58,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_QNTY_few_people_pl_form_eat_CMPL_food_01_spkrTS.wav,1,96000,1.27,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_Q_do_you_inf_see_me_ANS_NEG_no_I_dont_see_you_inf_01_02_spkrTS.wav,1,96000,3.26,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_Q_does_he_need_a_new_heart_01_spkrTS.wav,1,32000,1.81,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_Q_does_he_need_a_new_heart_02_spkrTS.wav,1,32000,1.86,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_Q_is_it_sunny_today_01_TS.wav,1,32000,2.14,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_Q_where_did_Claudia_eat_01_spkrTS.wav,2,96000,14.61,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_Q_why_didnt_we_eat_monday_01_02.wav,2,96000,7.81,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_STV_BEunhappy-worried_1s_01_02_03_TS.wav,1,96000,6.01,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_TRANS_bring_up_U_cat_A_boy_LOC_tree_01_spkrTS.wav,1,96000,3.66,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_TRANS_bring_up_U_cat_A_boy_LOC_tree_02_spkrTS.wav,1,96000,2.57,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_TRANS_bring_up_U_cat_A_boy_LOC_tree_03_spkrTS.wav,1,96000,3.6,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_eat_1s_tortillas_01_02_JS.wav,1,96000,2.87,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_eat_3rd_sg_inf_IMP_PROG_when_the_phone_rang_02_s.wav,1,96000,2.52,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_eat_3rd_sg_inf_salt_01_spkrJS.wav,1,96000,1.25,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_eat_breakfast_3pl_f_all_everyday_01_02_TS.wav,1,96000,19.33,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_frog_LOC_top_of_the_basket_01_02_03_TS.wav,1,96000,5.39,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_frog_LOC_top_of_the_basket_03_TS.wav,1,96000,1.68,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_give_1st_sg_NEG_FUT_money_to_Jack_02_spkrJS.wav,1,96000,2.17,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_have_1st_pl_excl_the_same_mother_and_father_02_spkrTS.wav,1,96000,2.66,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_jump_1st_sg_on_the_bed_01_spkrTS.wav,1,96000,1.61,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_live_1st_sg_FUT_LOC_home_until_get_married_1st_sg_02_spkrTS.wav,1,96000,2.01,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_my_car_broke_down_04_spkrJS.wav,1,22050,2.19,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_my_friend_LOC_inside_01_02_03_spkrTS.wav,1,96000,5.33,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_my_mother_wakes_up_early_02_TS.wav,1,96000,1.17,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_my_siblings_are_older_than_I_01_02_TS.wav,1,96000,28.99,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_my_siblings_do_not_live_at_home_01_spkrTS.wav,1,96000,2.19,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_nine_husbands_eat_salt_04.wav,1,96000,2.57,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_she_only_drinks_coffee_POSS_3rd_sg_form_f_02_spkrTS.wav,1,96000,2.04,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_that_priest_hit_me_02_spkrJS.wav,1,22050,1.79,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_bat_fly_COMPL_get_up_out_of_COMPL_the_cave_03_04_TS.wav,1,96000,7.32,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_bat_fly_COMPL_to_the_cave_enter_COMPL_01_TS.wav,1,96000,3.13,WAV
/Users/jackbowers/Archived - Box Sync/Language_Data/Mixtepec_Mixtec/media/speech-mix/annotate-later/duplicateTokens/S_the_house_is_on_the_middle_of_the_hill_02_TS.wav,1,96000,1.99,WAV
